"","V1"
"1514",88
"1515",80
"1516",33
"1517",25
"1518",40
"1519",72
"1520",287
"1521",69
"1522",35
"1523",124
"1524",13
"1525",31
"1526",235
"1527",25
"1528",85
"1529",34
"1530",67
"1531",101
"1532",32
"1533",112
"1534",38
"1535",39
"1536",61
"1537",24
"1538",311
"1539",20
"1540",40
"1541",38
"1542",15
"1543",29
"1544",744
"1545",90
"1546",46
"1547",107
"1548",15
"1549",93
"1550",26
"1551",246
"1552",84
"1553",64
"1554",142
"1555",259
"1556",55
"1557",21
"1558",162
"1559",144
"1560",32
"1561",22
"1562",60
"1563",61
"1564",134
"1565",172
"1566",137
"1567",20
"1568",19
"1569",19
"1570",213
"1571",71
"1572",155
"1573",52
"1574",3
"1575",518
"1576",224
"1577",68
"1578",54
"1579",129
"1580",81
"1581",125
"1582",103
"1583",207
"1584",40
"1585",79
"1586",40
"1587",266
"1588",47
"1589",702
"1590",62
"1591",91
"1592",191
"1593",57
"1594",99
"1595",70
"1596",50
"1597",133
"1598",36
"1599",53
"1600",123
"1601",256
"1602",104
"1603",7
"1604",90
"1605",58
"1606",64
"1607",118
"1608",124
"1609",26
"1610",40
"1611",155
"1612",96
"1613",63
"1614",32
"1615",49
"1616",30
"1617",31
"1618",19
"1619",20
"1620",37
"1621",290
"1622",49
"1623",27
"1624",48
"1625",70
"1626",51
"1627",769
"1628",63
"1629",78
"1630",210
"1631",28
"1632",117
"1633",35
"1634",29
"1635",16
"1636",56
"1637",74
"1638",10
"1639",84
"1640",191
"1641",31
"1642",33
"1643",74
"1644",34
"1645",175
"1646",112
"1647",65
"1648",43
"1649",18
"1650",444
"1651",15
"1652",169
"1653",55
"1654",142
"1655",330
"1656",11
"1657",129
"1658",85
"1659",80
"1660",56
"1661",418
"1662",56
"1663",66
"1664",47
"1665",70
"1666",22
"1667",83
"1668",26
"1669",17
"1670",1073
"1671",141
"1672",41
"1673",407
"1674",21
"1675",113
"1676",325
"1677",39
"1678",1406
"1679",14
"1680",28
"1681",90
"1682",31
"1683",13
"1684",64
"1685",28
"1686",9
"1687",71
"1688",150
"1689",81
"1690",24
"1691",118
"1692",71
"1693",14
"1694",54
"1695",40
"1696",27
"1697",61
"1698",111
"1699",47
"1700",36
"1701",39
"1702",63
"1703",23
"1704",45
"1705",155
"1706",72
"1707",23
"1708",22
"1709",15
"1710",57
"1711",28
"1712",31
"1713",28
"1714",815
"1715",30
"1716",40
"1717",16
"1718",30
"1719",432
"1720",50
"1721",26
"1722",28
"1723",63
"1724",25
"1725",92
"1726",106
"1727",63
"1728",151
"1729",22
"1730",39
"1731",38
"1732",38
"1733",27
"1734",27
"1735",66
"1736",19
"1737",72
"1738",20
"1739",51
"1740",811
"1741",48
"1742",76
"1743",12
"1744",209
"1745",25
"1746",523
"1747",13
"1748",63
"1749",303
"1750",30
"1751",63
"1752",46
"1753",21
"1754",60
"1755",153
"1756",28
"1757",93
"1758",32
"1759",53
"1760",54
"1761",166
"1762",60
"1763",187
"1764",43
"1765",32
"1766",173
"1767",371
"1768",36
"1769",105
"1770",20
"1771",42
"1772",66
"1773",35
"1774",101
"1775",195
"1776",172
"1777",213
"1778",57
"1779",83
"1780",5
"1781",57
"1782",61
"1783",28
"1784",50
"1785",15
"1786",19
"1787",54
"1788",39
"1789",41
"1790",14
"1791",51
"1792",17
"1793",778
"1794",592
"1795",52
"1796",119
"1797",27
"1798",181
"1799",73
"1800",112
"1801",15
"1802",14
"1803",4
"1804",315
"1805",63
"1806",72
"1807",NA
"1808",33
"1809",44
"1810",113
"1811",236
"1812",53
"1813",23
"1814",104
"1815",65
"1816",92
"1817",170
"1818",47
"1819",27
"1820",70
"1821",103
"1822",198
"1823",49
"1824",48
"1825",161
"1826",51
"1827",71
"1828",15
"1829",389
"1830",32
"1831",22
"1832",40
"1833",31
"1834",20
"1835",24
"1836",48
"1837",22
"1838",61
"1839",185
"1840",39
"1841",72
"1842",254
"1843",7
"1844",17
"1845",125
"1846",927
"1847",107
"1848",31
"1849",10
"1850",87
"1851",317
"1852",664
"1853",226
"1854",25
"1855",32
"1856",10
"1857",25
"1858",371
"1859",108
"1860",107
"1861",238
"1862",54
"1863",72
"1864",195
"1865",87
"1866",92
"1867",34
"1868",74
"1869",64
"1870",197
"1871",17
"1872",30
"1873",19
"1874",522
"1875",131
"1876",482
"1877",165
"1878",27
"1879",383
"1880",72
"1881",47
"1882",339
"1883",79
"1884",244
"1885",26
"1886",53
"1887",107
"1888",12
"1889",133
"1890",181
"1891",282
"1892",65
"1893",33
"1894",63
"1895",18
"1896",48
"1897",13
"1898",29
"1899",38
"1900",66
"1901",87
"1902",67
"1903",NA
"1904",13
"1905",34
"1906",37
"1907",19
"1908",54
"1909",339
"1910",108
"1911",63
"1912",40
"1913",17
"1914",30
"1915",248
"1916",70
"1917",142
"1918",17
"1919",80
"1920",45
"1921",11
"1922",37
"1923",133
"1924",32
"1925",34
"1926",156
"1927",149
"1928",11
"1929",100
"1930",65
"1931",39
"1932",226
"1933",30
"1934",66
"1935",29
"1936",31
"1937",86
"1938",97
"1939",35
"1940",58
"1941",24
"1942",192
"1943",310
"1944",123
"1945",99
"1946",61
"1947",240
"1948",51
"1949",38
"1950",22
"1951",55
"1952",449
"1953",42
"1954",11
"1955",22
"1956",159
"1957",78
"1958",14
"1959",33
"1960",123
"1961",183
"1962",56
"1963",63
"1964",13
"1965",46
"1966",49
"1967",20
"1968",59
"1969",28
"1970",11
"1971",15
"1972",33
"1973",256
"1974",85
"1975",153
"1976",322
"1977",25
"1978",69
"1979",17
"1980",130
"1981",19
"1982",119
"1983",13
"1984",46
"1985",541
"1986",29
"1987",244
"1988",30
"1989",79
"1990",1338
"1991",61
"1992",376
"1993",113
"1994",49
"1995",87
"1996",71
"1997",21
"1998",16
"1999",34
"2000",52
"2001",118
"2002",14
"2003",173
"2004",295
"2005",20
"2006",71
"2007",167
"2008",454
"2009",17
"2010",327
"2011",10
"2012",21
"2013",64
"2014",50
